specObjID,lick_cn1,lick_cn1_err,lick_cn1_model,lick_cn1_sub,lick_cn1_sub_err,lick_cn2,lick_cn2_err,lick_cn2_model,lick_cn2_sub,lick_cn2_sub_err,lick_ca4227,lick_ca4227_err,lick_ca4227_model,lick_ca4227_sub,lick_ca4227_sub_err,lick_g4300,lick_g4300_err,lick_g4300_model,lick_g4300_sub,lick_g4300_sub_err,lick_fe4383,lick_fe4383_err,lick_fe4383_model,lick_fe4383_sub,lick_fe4383_sub_err,lick_ca4455,lick_ca4455_err,lick_ca4455_model,lick_ca4455_sub,lick_ca4455_sub_err,lick_fe4531,lick_fe4531_err,lick_fe4531_model,lick_fe4531_sub,lick_fe4531_sub_err,lick_c4668,lick_c4668_err,lick_c4668_model,lick_c4668_sub,lick_c4668_sub_err,lick_hb,lick_hb_err,lick_hb_model,lick_hb_sub,lick_hb_sub_err,lick_fe5015,lick_fe5015_err,lick_fe5015_model,lick_fe5015_sub,lick_fe5015_sub_err,lick_mg1,lick_mg1_err,lick_mg1_model,lick_mg1_sub,lick_mg1_sub_err,lick_mg2,lick_mg2_err,lick_mg2_model,lick_mg2_sub,lick_mg2_sub_err,lick_mgb,lick_mgb_err,lick_mgb_model,lick_mgb_sub,lick_mgb_sub_err,lick_fe5270,lick_fe5270_err,lick_fe5270_model,lick_fe5270_sub,lick_fe5270_sub_err,lick_fe5335,lick_fe5335_err,lick_fe5335_model,lick_fe5335_sub,lick_fe5335_sub_err,lick_fe5406,lick_fe5406_err,lick_fe5406_model,lick_fe5406_sub,lick_fe5406_sub_err,lick_fe5709,lick_fe5709_err,lick_fe5709_model,lick_fe5709_sub,lick_fe5709_sub_err,lick_fe5782,lick_fe5782_err,lick_fe5782_model,lick_fe5782_sub,lick_fe5782_sub_err,lick_nad,lick_nad_err,lick_nad_model,lick_nad_sub,lick_nad_sub_err,lick_tio1,lick_tio1_err,lick_tio1_model,lick_tio1_sub,lick_tio1_sub_err,lick_tio2,lick_tio2_err,lick_tio2_model,lick_tio2_sub,lick_tio2_sub_err,lick_hd_a,lick_hd_a_err,lick_hd_a_model,lick_hd_a_sub,lick_hd_a_sub_err,lick_hg_a,lick_hg_a_err,lick_hg_a_model,lick_hg_a_sub,lick_hg_a_sub_err,lick_hd_f,lick_hd_f_err,lick_hd_f_model,lick_hd_f_sub,lick_hd_f_sub_err,lick_hg_f,lick_hg_f_err,lick_hg_f_model,lick_hg_f_sub,lick_hg_f_sub_err,dtt_caii8498,dtt_caii8498_err,dtt_caii8498_model,dtt_caii8498_sub,dtt_caii8498_sub_err,dtt_caii8542,dtt_caii8542_err,dtt_caii8542_model,dtt_caii8542_sub,dtt_caii8542_sub_err,dtt_caii8662,dtt_caii8662_err,dtt_caii8662_model,dtt_caii8662_sub,dtt_caii8662_sub_err,dtt_mgi8807,dtt_mgi8807_err,dtt_mgi8807_model,dtt_mgi8807_sub,dtt_mgi8807_sub_err,bh_cnb,bh_cnb_err,bh_cnb_model,bh_cnb_sub,bh_cnb_sub_err,bh_hk,bh_hk_err,bh_hk_model,bh_hk_sub,bh_hk_sub_err,bh_cai,bh_cai_err,bh_cai_model,bh_cai_sub,bh_cai_sub_err,bh_g,bh_g_err,bh_g_model,bh_g_sub,bh_g_sub_err,bh_hb,bh_hb_err,bh_hb_model,bh_hb_sub,bh_hb_sub_err,bh_mgg,bh_mgg_err,bh_mgg_model,bh_mgg_sub,bh_mgg_sub_err,bh_mh,bh_mh_err,bh_mh_model,bh_mh_sub,bh_mh_sub_err,bh_fc,bh_fc_err,bh_fc_model,bh_fc_sub,bh_fc_sub_err,bh_nad,bh_nad_err,bh_nad_model,bh_nad_sub,bh_nad_sub_err,d4000,d4000_err,d4000_model,d4000_sub,d4000_sub_err,d4000_n,d4000_n_err,d4000_n_model,d4000_n_sub,d4000_n_sub_err,d4000_red,d4000_blue,d4000_n_red,d4000_n_blue,d4000_sub_red,d4000_sub_blue,d4000_n_sub_red,d4000_n_sub_blue,tauv_model_040,model_coef_040,model_chisq_040,tauv_model_080,model_coef_080,model_chisq_080,tauv_model_170,model_coef_170,model_chisq_170,tauv_model_400,model_coef_400,model_chisq_400,best_model_z,tauv_cont,model_coef,model_chisq
299489676975171584,-0.0009742075,0.01363224,-0.0001198723,-0.0009742075,0.01363224,0.03494979,0.01365444,0.04442814,0.03494979,0.01365444,1.264301,0.2269877,1.145625,1.264301,0.2269877,3.57753,0.386857,4.849037,3.569699,0.3870177,5.46814,0.3716386,3.932579,5.46814,0.3716386,1.325382,0.2441836,1.273634,1.325382,0.2441836,2.904993,0.3288077,3.13808,2.904993,0.3288077,7.891322,0.4187047,3.821765,7.891322,0.4187047,0.9757679,0.2632573,2.149082,2.335609,0.2560292,4.097161,0.4016795,4.821763,4.624022,0.4022312,0.07713249,0.006087746,0.06348678,0.07590856,0.00609157,0.1983947,0.008153224,0.1654261,0.1975709,0.008156933,3.405375,0.2522798,2.757805,3.405375,0.2522798,2.781545,0.2644333,2.579133,2.781545,0.2644333,2.091238,0.2728158,2.453593,2.091238,0.2728158,1.762135,0.2264003,1.548324,1.762135,0.2264003,1.176599,0.2436016,0.8363707,1.176599,0.2436016,0.316287,0.2184622,0.7143226,0.316287,0.2184622,2.730457,0.2012058,2.305185,2.730457,0.2012058,0.03228496,0.005913911,0.02987204,0.03228496,0.005913911,0.05709925,0.004853404,0.06124629,0.05709925,0.004853404,0.2822896,0.5089937,-0.3257577,0.2822896,0.5089937,-3.891016,0.4734035,-3.284011,-3.088149,0.4692267,1.507864,0.3591027,1.194009,1.507864,0.3591027,-0.8936043,0.3246238,-0.1225958,-0.1228305,0.3182703,0.8362502,0.2914431,0.3875151,0.8362502,0.2914431,2.920663,0.2705422,0.8288985,2.920663,0.2705422,2.856504,0.3116835,0.4156429,2.856504,0.3116835,0.6380829,0.2326109,0.03487869,0.6380829,0.2326109,0.1172005,0.01328036,0.135466,0.1172005,0.01328036,0.2882766,0.0125521,0.3037763,0.2882766,0.0125521,-0.008372879,0.0109182,0.01143146,-0.008372879,0.0109182,0.2005003,0.01106069,0.2283477,0.2005003,0.01106069,0.05503427,0.005279855,0.0729773,0.08024801,0.005367809,0.08201136,0.006069037,0.06724061,0.08201136,0.006069037,0.05185103,0.001963643,0.04264608,0.05208911,0.00197018,0.07500599,0.007146262,0.06374209,0.07500599,0.007146262,0.0561997,0.004546158,0.0489103,0.0561997,0.004546158,1.897241,0.01557747,1.915268,1.897241,0.01557747,1.669761,0.01762818,1.697377,1.669761,0.01762818,2.280075E+11,1.201785E+11,1.069186E+11,6.403228E+10,2.280075E+11,1.201785E+11,1.069186E+11,6.403228E+10,5.664829,29073.02,7.248419,0.5578039,0,1.194339,0.8246428,0,1.220466,0.9710643,0,1.413804,0.008,0.5578039,0,1.194339
299489677444933632,-0.016244,0.01322684,-0.006601225,-0.02477519,0.01328721,0.006122483,0.01338571,0.03890152,0.005941771,0.01338702,1.327702,0.2162994,1.099397,1.327702,0.2162994,4.195381,0.3647089,4.6432,4.185558,0.3649018,5.423168,0.3733241,3.800291,5.423168,0.3733241,1.313343,0.2472661,1.257916,1.313343,0.2472661,2.709491,0.3282605,3.083549,2.709491,0.3282605,5.499185,0.4346488,3.723586,5.499185,0.4346488,0.5991755,0.2623246,2.225435,2.258852,0.2538623,4.504159,0.3967454,4.754998,5.065322,0.3967961,0.07277112,0.00602278,0.06212902,0.07179341,0.006025806,0.1880231,0.008070304,0.1621946,0.1873671,0.008073213,3.093462,0.2530089,2.719419,3.093462,0.2530089,2.58097,0.2667028,2.552643,2.58097,0.2667028,2.43888,0.2664272,2.455082,2.43888,0.2664272,1.716639,0.2237752,1.559106,1.716639,0.2237752,1.041356,0.2360734,0.8297007,1.041356,0.2360734,0.2848398,0.20867,0.7135892,0.2848398,0.20867,3.083357,0.1868488,2.294778,3.083357,0.1868488,0.035178,0.005674583,0.02968408,0.035178,0.005674583,0.05467944,0.004741624,0.06038926,0.05467944,0.004741624,1.116239,0.4928037,0.07703983,1.583408,0.4896501,-4.029168,0.4643897,-2.815187,-2.889125,0.4586076,1.27508,0.3604842,1.434205,1.744738,0.3558826,-1.215177,0.3238342,0.1333469,-0.115106,0.3148784,1.676666,0.2762057,0.385157,1.676666,0.2762057,4.185285,0.2480628,0.8311346,4.185285,0.2480628,3.189241,0.2925061,0.4215511,3.189241,0.2925061,1.33622,0.2029392,0.03131675,1.33622,0.2029392,0.1581571,0.01268698,0.1288993,0.1581571,0.01268698,0.3241295,0.01190155,0.2963755,0.3241295,0.01190155,-0.001397346,0.01059374,0.01093392,-0.001397346,0.01059374,0.2021889,0.01086141,0.2205864,0.2021889,0.01086141,0.03620916,0.005215436,0.0747145,0.06688567,0.00531997,0.07697873,0.006025355,0.06618984,0.07697873,0.006025355,0.05074852,0.001994322,0.04150882,0.04989583,0.002001102,0.06676752,0.007120178,0.0621013,0.06676752,0.007120178,0.07224336,0.004275672,0.04856114,0.07224336,0.004275672,1.864509,0.01444629,1.889893,1.860345,0.01442005,1.6639,0.01688937,1.665964,1.662094,0.01687595,2.30394E+11,1.235681E+11,1.083162E+11,6.509777E+10,2.298794E+11,1.235681E+11,1.081986E+11,6.509777E+10,5.667042,28944.73,7.011531,0.6664543,0,1.184231,0.9526635,0,1.20866,1.093621,0,1.407422,0.008,0.6664543,0,1.184231
299489951853078528,0.07895981,0.05596662,0.02144206,0.07895981,0.05596662,0.1200459,0.05559427,0.07792545,0.1200459,0.05559427,0.9188068,0.905328,1.347157,0.9188068,0.905328,3.520588,1.657429,4.034988,3.520394,1.657445,7.939599,1.4554,5.073297,7.939599,1.4554,3.41609,0.970897,1.65695,3.41609,0.970897,3.9173,1.388103,3.411481,3.9173,1.388103,6.284695,1.992148,6.658417,6.284695,1.992148,-0.9265009,1.85623,2.671117,-0.9265009,1.85623,2.015375,2.007128,6.147625,2.015375,2.007128,0.1128734,0.02975438,0.09127157,0.1128734,0.02975438,0.2272094,0.03815204,0.2205729,0.2272094,0.03815204,5.713543,0.972609,3.608236,5.713543,0.972609,3.990672,0.9777235,3.398601,3.990672,0.9777235,4.081878,0.848951,3.263609,4.081878,0.848951,1.560974,0.8688015,2.139672,1.560974,0.8688015,2.669102,0.7158403,1.167311,2.669102,0.7158403,1.260975,0.6107172,1.061657,1.260975,0.6107172,1.791202,0.7302819,3.493625,1.791202,0.7302819,0.03073026,0.02240354,0.02859918,0.03073026,0.02240354,0.03177443,0.02315463,0.0636235,0.03177443,0.02315463,-1.770524,2.158751,0.5397995,-1.770524,2.158751,-2.921224,2.018811,-2.576664,-1.580096,1.98722,-0.06399456,1.581662,2.249054,-0.06399456,1.581662,-0.5734943,1.389521,0.3771992,0.7135131,1.341966,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0.2099584,0.0471338,0.1600373,0.2099584,0.0471338,0.2845214,0.04727598,0.27314,0.2845214,0.04727598,-0.01407171,0.04419067,-0.0003201474,-0.01407171,0.04419067,0.2523207,0.04942531,0.215347,0.2523207,0.04942531,0.1088553,0.03391873,0.09330908,0.1088553,0.03391873,0.1572603,0.02579304,0.0884904,0.1572603,0.02579304,0.07227397,0.0086555,0.05935415,0.07227397,0.0086555,0.08857841,0.0264282,0.08448005,0.08857841,0.0264282,0.03584514,0.01630359,0.07521084,0.03584514,0.01630359,1.813719,0.05047672,1.876529,1.813719,0.05047672,1.653157,0.06330123,1.638718,1.653157,0.06330123,2.542287E+10,1.401698E+10,1.223183E+10,7.399072E+09,2.542287E+10,1.401698E+10,1.223183E+10,7.399072E+09,0.682687,0,1.265749,0.3578011,0,1.220603,0.5535488,0.1206217,1.201451,0.4367088,0,1.196315,0.04,0.4367088,0,1.196315
299489952322840576,0.1051974,0.04324103,0.06762753,0.1051974,0.04324103,0.1335576,0.04288774,0.1173384,0.1335576,0.04288774,2.130797,0.7069425,1.579788,2.130797,0.7069425,4.352136,1.154912,5.144701,4.352136,1.154912,3.771225,1.178201,5.741976,3.771225,1.178201,2.271364,0.7152331,1.753224,2.271364,0.7152331,5.07179,0.9491164,3.756224,5.07179,0.9491164,3.386955,1.801614,7.34993,3.386955,1.801614,1.725521,1.045757,2.252258,1.725521,1.045757,4.87049,1.195555,6.406323,4.87049,1.195555,0.109866,0.01909634,0.09288325,0.109866,0.01909634,0.2526531,0.02580492,0.2327207,0.2526531,0.02580492,3.625352,0.7051863,3.825992,3.625352,0.7051863,0,-1,3.465858,0,-1,2.233533,0.5871732,3.261799,2.233533,0.5871732,1.160383,0.5108849,2.103044,1.160383,0.5108849,1.536719,0.4793975,1.176576,1.536719,0.4793975,0.7114119,0.4271594,1.010898,0.7114119,0.4271594,3.234263,0.472084,3.518027,3.234263,0.472084,0.02450885,0.01415326,0.02834507,0.02450885,0.01415326,0.090994,0.01318317,0.06303214,0.090994,0.01318317,-1.715613,1.676883,-1.783829,-1.715613,1.676883,-4.662528,1.4948,-4.961715,-4.662528,1.4948,0.8962628,1.151942,0.766471,0.8962628,1.151942,-2.766029,1.111151,-0.9000007,-2.766029,1.111151,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0.1917909,0.04311863,0.2267821,0.1917909,0.04311863,0.4898897,0.04371837,0.3426547,0.4898897,0.04371837,-0.002047556,0.03573562,0.0008226942,-0.002047556,0.03573562,0.204669,0.03568346,0.2533994,0.204669,0.03568346,0.03502333,0.02151163,0.0873446,0.03502333,0.02151163,0.08911043,0.01685066,0.09461216,0.08911043,0.01685066,0.08111832,0.005559219,0.06237787,0.08111832,0.005559219,0.07039487,0.01745782,0.09145071,0.07039487,0.01745782,0.08727546,0.01059213,0.07557553,0.08727546,0.01059213,2.157893,0.0547132,2.232646,2.157893,0.0547132,1.949356,0.0684627,1.961711,1.949356,0.0684627,3.183681E+10,1.475366E+10,1.501163E+10,7.700817E+09,3.183681E+10,1.475366E+10,1.501163E+10,7.700817E+09,5.598028,4022.685,2.637891,0.2003269,0,1.31696,0.08749542,0,1.264824,0.07642186,0,1.263433,0.04,0.07642186,0,1.263433
299490226730985472,0.1240193,0.05227844,-0.01421984,0.0489787,0.05398765,0.06742447,0.05377281,0.01553161,0.01521164,0.0550576,-0.01076438,1.160251,0.456843,-0.01076438,1.160251,-0.1481793,1.610981,1.794676,-2.055587,1.757595,6.624809,1.846916,2.561041,6.540613,1.851647,1.35339,1.542405,0.7402917,1.35339,1.542405,-0.7664372,2.238853,1.959963,-0.7664372,2.238853,0,-1,4.744302,0,-1,-7.666365,2.194275,2.408413,6.135214,1.766387,-24.55595,5.79368,3.772954,0.7806293,4.833604,0,-1,0.07254724,0,-1,0,-1,0.1749946,0,-1,6.450325,3.055795,2.132741,6.450325,3.055795,-13.84308,11.78463,1.972197,-13.84308,11.78463,0,-1,1.470679,0,-1,-128.9113,235.4383,0.9492879,-128.9113,235.4383,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-3.092155,1.799415,1.694716,1.029119,1.696713,-11.37502,2.124261,-0.7428638,-3.686822,1.940306,-1.291409,1.322268,1.898647,2.168617,1.20582,-4.759861,1.399815,1.026713,1.172071,1.193148,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-0.06282131,0.02373617,0.06036567,-0.03548318,0.02408499,0.07234917,0.03091383,0.1349774,0.07234917,0.03091383,0.04116381,0.04863737,0.006183056,0.04116381,0.04863737,-0.07963886,0.04062983,0.07489082,-0.08789836,0.0407523,-0.3056141,0.03550006,0.07598346,-0.01506601,0.04217903,0,-1,0.0642223,0,-1,-0.04673922,0.03004772,0.0634365,0.007069757,0.03165026,0,-1,0.06242472,0,-1,0,-1,0,0,-1,1.021644,0.01878254,1.106263,1.013625,0.0189563,0.9799825,0.02396625,1.135465,0.9875507,0.02469468,1.999772E+10,1.957406E+10,9.683471E+09,9.88127E+09,1.958427E+10,1.932102E+10,9.50836E+09,9.628226E+09,1.796452,21.41112,1.448031,1.622949,18.02345,1.447978,-2.032273,0.13226,1.442528,-2.307978,0.1067361,1.438252,0.04,-2.307978,0.1067361,1.438252
299490227200747520,0.1226781,0.03669171,-0.05467324,0.03092438,0.03814197,0.1240686,0.03701757,-0.01886103,0.07051855,0.03786607,0.240761,0.7819866,0.3927759,0.240761,0.7819866,1.760859,1.076855,1.21686,-0.04297506,1.178004,6.330403,1.417896,1.875732,6.212948,1.422704,0.5786164,1.190093,0.6696324,0.5786164,1.190093,-1.825081,1.635701,1.828619,-1.825081,1.635701,-9.343791,3.383165,3.428793,-9.343791,3.383165,-5.676996,1.496578,3.215497,6.028531,1.207255,-16.50508,3.960844,3.437338,1.336983,3.54614,0.1667157,0.05985381,0.04876602,0.1499598,0.0602861,0.05564684,0.07526563,0.1303728,0.04339491,0.07579964,-2.630676,2.984384,1.568586,-2.630676,2.984384,-7.657282,6.647923,1.733317,-7.657282,6.647923,0,-1,1.292247,0,-1,8.341873,2.412581,0.8300235,8.341873,2.412581,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-3.490883,1.281539,3.468758,1.51327,1.191648,-10.2158,1.540861,1.504184,-1.568771,1.385538,-1.637816,0.9185123,2.962728,2.527787,0.8180128,-5.743447,1.103109,2.397694,1.220007,0.917704,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-0.05140548,0.01708865,0.0514727,-0.02874399,0.01729764,-0.0373898,0.0203796,0.1715628,-0.0373898,0.0203796,0.002599431,0.03366452,0.00714602,0.002599431,0.03366452,0.07093547,0.0292866,0.06493644,0.06408323,0.0293475,-0.2896517,0.02582154,0.09807936,-0.04024384,0.0298266,0,-1,0.04605402,0,-1,0.1015523,0.02055783,0.0402869,0.1492769,0.02163321,0,-1,0.05439793,0,-1,0,-1,0,0,-1,1.027518,0.01330881,1.259641,1.012969,0.01335673,0.9921043,0.01660344,1.201582,0.9934435,0.01696743,2.285578E+10,2.224368E+10,1.12317E+10,1.132109E+10,2.229418E+10,2.200875E+10,1.101348E+10,1.108616E+10,-1.659487,0.04907144,1.44358,-1.336487,0.1971877,1.441386,-1.19393,0.1183851,1.441481,-1.119567,0,1.438624,0.04,-1.119567,0,1.438624
299490501608892416,0.093881,0.06528926,0.03725946,0.093881,0.06528926,0.1241926,0.06539682,0.07919794,0.1241926,0.06539682,0.6239689,1.065878,1.337003,0.6239689,1.065878,4.453424,1.749938,5.204437,4.453424,1.749938,-0.3812338,1.793305,5.118156,-0.3812338,1.793305,2.174166,0.9849315,1.410403,2.174166,0.9849315,3.710541,1.294831,3.366582,3.710541,1.294831,4.190462,1.695615,5.732174,4.190462,1.695615,1.542421,1.056324,2.119026,1.542421,1.056324,-0.8130447,2.534509,5.363502,1.398102,2.479723,0.1124984,0.03101435,0.07289199,0.1124984,0.03101435,0.2476538,0.04504963,0.1945052,0.2476538,0.04504963,2.643627,1.492399,3.23701,2.643627,1.492399,0.2537353,1.379983,2.992279,0.2537353,1.379983,3.602553,1.011801,2.699909,3.602553,1.011801,2.074315,0.7762715,1.764383,2.074315,0.7762715,0.6318449,0.5675359,1.032494,0.6318449,0.5675359,1.007818,0.5330317,0.8319135,1.007818,0.5330317,6.450238,0.5378268,2.664818,6.450238,0.5378268,0.02264521,0.01674411,0.02548075,0.02264521,0.01674411,0.06416844,0.01378503,0.0511443,0.06416844,0.01378503,-1.599058,2.479654,-1.549232,-1.599058,2.479654,-2.673174,2.125437,-4.912558,-2.673174,2.125437,1.159779,1.626881,0.7339439,1.159779,1.626881,-0.3187276,1.488537,-0.8198029,-0.3187276,1.488537,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0.185365,0.0702794,0.2003817,0.185365,0.0702794,0.5020912,0.07447736,0.32929,0.5020912,0.07447736,0.01342691,0.04959765,0.003683024,0.01342691,0.04959765,0.197334,0.05481196,0.2405159,0.197334,0.05481196,0.02333441,0.02119881,0.07827958,0.02333441,0.02119881,0.08657289,0.03471866,0.07942506,0.08657289,0.03471866,0.08629897,0.008950502,0.0507989,0.09216753,0.008988534,0.0228672,0.03476897,0.08175829,0.0228672,0.03476897,0.1660639,0.01341245,0.05599473,0.1660639,0.01341245,2.299695,0.09540666,2.335838,2.299695,0.09540666,1.995864,0.1126047,1.968048,1.995864,0.1126047,2.098645E+10,9.125754E+09,9.846674E+09,4.933539E+09,2.098645E+10,9.125754E+09,9.846674E+09,4.933539E+09,2.185489,0,1.270231,1.735572,0,1.214302,1.837925,0,1.195661,2.048859,0,1.197558,0.017,1.837925,0,1.195661
299490502078654464,0.007202755,0.03056836,-0.02118982,0.007202755,0.03056836,0.02624605,0.032037,0.02662422,0.02624605,0.032037,1.412126,0.4857327,1.019174,1.412126,0.4857327,5.263251,0.7952386,4.203164,5.262725,0.7952614,4.02563,0.8242726,3.488143,4.02563,0.8242726,0.5098413,0.5457712,1.206454,0.5098413,0.5457712,2.701622,0.7136188,2.972065,2.701622,0.7136188,5.132264,0.8886892,3.529319,5.132264,0.8886892,1.39724,0.5318523,2.466897,2.823934,0.516243,3.19989,0.8248984,4.644035,3.778829,0.8270026,0.07474302,0.01262767,0.05918697,0.07355023,0.01263516,0.168499,0.01698631,0.1547109,0.1676955,0.01699359,3.3252,0.5319923,2.587019,3.3252,0.5319923,4.686016,1.573709,2.492624,4.686016,1.573709,2.237012,0.5560855,2.404207,2.237012,0.5560855,1.431149,0.4878085,1.520554,1.431149,0.4878085,0.8548565,0.3605434,0.8115897,0.8548565,0.3605434,0.9040777,0.3184551,0.704797,0.9040777,0.3184551,3.320385,0.348107,2.229306,3.320385,0.348107,0.03990242,0.01064245,0.02865455,0.03990242,0.01064245,0.05830454,0.00775124,0.05788711,0.05830454,0.00775124,-0.5076343,1.147976,0.9313224,-0.5076343,1.147976,-3.741545,1.037225,-1.816432,-2.813878,1.026717,1.551911,0.7928051,1.951269,1.551911,0.7928051,-0.04177121,0.6950127,0.6872725,0.8520601,0.6785364,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0.01311297,0.02791115,0.1173633,0.01311297,0.02791115,0.3016489,0.02681869,0.2844971,0.3016489,0.02681869,0.003372775,0.02412365,0.01027298,0.003372775,0.02412365,0.2431982,0.0252809,0.2045342,0.2431982,0.0252809,0.06873342,0.01103522,0.08028837,0.09543324,0.0112242,0.06770528,0.01296548,0.06293032,0.06770528,0.01296548,0.02111498,0.005000456,0.0386798,0.02190842,0.005020107,0.09219541,0.02425211,0.05983384,0.09219541,0.02425211,0.09626257,0.008384154,0.04695076,0.09626257,0.008384154,1.798716,0.03000483,1.817545,1.798716,0.03000483,1.625382,0.0354523,1.597895,1.625382,0.0354523,6.126831E+10,3.406224E+10,2.945084E+10,1.811933E+10,6.126831E+10,3.406224E+10,2.945084E+10,1.811933E+10,5.313623,4898.042,2.250274,0.6067266,0,1.142433,0.9499444,0,1.159165,1.139936,0,1.227111,0.008,0.6067266,0,1.142433
299490776486799360,-0.07103835,0.1210259,0.1016312,-0.07103835,0.1210259,-0.0206002,0.1210179,0.1431836,-0.0206002,0.1210179,2.869514,1.459711,1.581858,2.869514,1.459711,3.994436,2.844376,5.688647,3.994436,2.844376,4.297318,2.240532,6.018597,4.297318,2.240532,1.248778,1.312593,1.608035,1.248778,1.312593,-0.4402745,2.145394,3.733078,-0.4402745,2.145394,10.11564,2.127103,7.714057,10.11564,2.127103,3.499427,1.463147,1.837606,3.499427,1.463147,0,-1,6.136812,0,-1,0.09192786,0.03798443,0.09719101,0.09192786,0.03798443,0.2268544,0.05300524,0.2424452,0.2268544,0.05300524,1.744397,1.89655,3.796549,1.744397,1.89655,-3.707244,3.520735,3.334476,-3.707244,3.520735,3.355731,1.743106,2.913893,3.355731,1.743106,4.359751,1.707046,1.919501,4.359751,1.707046,-6.880873,3.181947,1.13176,-6.880873,3.181947,0,-1,0.9231928,0,-1,0.8036329,2.764168,3.524657,0.8036329,2.764168,0.1183954,0.06789322,0.02956972,0.1183954,0.06789322,0,-1,0,0,-1,-0.22541,5.205601,-3.693538,-0.22541,5.205601,-3.155909,3.127342,-7.154401,-3.155909,3.127342,0.3800111,3.794958,-0.3123907,0.3800111,3.794958,0.882937,2.036023,-1.919923,0.882937,2.036023,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0.08324219,0.09041577,0.2624122,0.08324219,0.09041577,0.3751985,0.09879827,0.3418465,0.3751985,0.09879827,-0.08775906,0.08030204,0.004720351,-0.08775906,0.08030204,0.2185487,0.08521415,0.2533719,0.2185487,0.08521415,0.1480109,0.03163632,0.07481003,0.1480109,0.03163632,0.04211779,0.04289181,0.09721322,0.04211779,0.04289181,0.01689176,0.01470533,0.06787275,0.01689176,0.01470533,-0.1463139,0.07098448,0.09642079,-0.1463139,0.07098448,0,-1,0.07849173,0,-1,1.730957,0.08885458,2.31829,1.730957,0.08885458,1.831884,0.1540404,2.090189,1.831884,0.1540404,1.156057E+10,6.678714E+09,5.797323E+09,3.164678E+09,1.156057E+10,6.678714E+09,5.797323E+09,3.164678E+09,0.9219608,0,1.377417,0.3142038,0,1.341824,0.05390004,0,1.32489,-0.2041771,0.05555601,1.322998,0.04,-0.2041771,0.05555601,1.322998
299491051364706304,-0.1203329,0.0906791,-0.09263962,-0.1203329,0.0906791,-0.1527394,0.09405099,-0.03243432,-0.1527394,0.09405099,1.340803,1.420294,0.5631012,1.340803,1.420294,0.9687542,2.844349,1.501078,0.9686897,2.844359,0.1306473,2.789536,1.618352,0.1306473,2.789536,-1.920107,1.959221,0.8832796,-1.920107,1.959221,2.291305,2.145298,2.042685,2.291305,2.145298,0.0920667,3.053612,2.22878,0.0920667,3.053612,-5.884175,2.077981,3.998015,1.882303,1.697498,2.601082,2.614967,3.440926,4.418212,2.57595,0.04348873,0.03935916,0.03926111,0.04348873,0.03935916,0.09630784,0.05506639,0.107261,0.09630784,0.05506639,5.506043,1.566306,1.741939,5.506043,1.566306,13.04192,2.289863,1.896789,13.04192,2.289863,2.373761,1.745545,1.898257,2.373761,1.745545,0.03230431,2.016518,1.117547,0.03230431,2.016518,1.529634,1.569119,0.6584759,1.529634,1.569119,0.7079302,1.096549,0.5543522,0.7079302,1.096549,-0.9000098,1.705828,1.757404,-0.9000098,1.705828,0.04841323,0.04189738,0.02191525,0.04841323,0.04189738,0.08516733,0.02833128,0.04422978,0.08516733,0.02833128,5.306412,2.770213,4.909245,5.306412,2.770213,0.9113951,2.857357,3.320996,4.16125,2.732069,1.30563,2.320757,4.394303,1.30563,2.320757,-0.9985336,2.237019,3.632355,2.3201,2.021951,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0.02144539,0.08234732,0.06150902,0.02144539,0.08234732,0.06476975,0.06764235,0.2059658,0.06476975,0.06764235,0.0779894,0.07055628,0.007278104,0.0779894,0.07055628,0.05821364,0.0735701,0.1038114,0.05821364,0.0735701,-0.01416844,0.03197119,0.1154375,0.1216623,0.03425699,-0.01169315,0.04176743,0.04288776,-0.01169315,0.04176743,0.04562196,0.01433394,0.02048109,0.03033041,0.01447019,-0.03778189,0.07312621,0.04218283,-0.03778189,0.07312621,-0.0280655,0.03313928,0.03746711,-0.0280655,0.03313928,1.499876,0.06852998,1.49974,1.499876,0.06852998,1.324099,0.08209562,1.306348,1.324099,0.08209562,2.551695E+10,1.701271E+10,1.153605E+10,8.712371E+09,2.551695E+10,1.701271E+10,1.153605E+10,8.712371E+09,0.7672687,0,1.19479,1.037379,0,1.193405,1.476032,0,1.195182,1.716797,1.404457,1.201521,0.008,1.037379,0,1.193405
