specObjID,sigma_balmer,sigma_balmer_err,sigma_forbidden,sigma_forbidden_err,v_off_balmer,v_off_balmer_err,v_off_forbidden,v_off_forbidden_err,oii_3726_cont,oii_3726_cont_err,oii_3726_reqw,oii_3726_reqw_err,oii_3726_eqw,oii_3726_eqw_err,oii_3726_flux,oii_3726_flux_err,oii_3726_inst_res,oii_3726_chisq,oii_3729_cont,oii_3729_cont_err,oii_3729_reqw,oii_3729_reqw_err,oii_3729_eqw,oii_3729_eqw_err,oii_3729_flux,oii_3729_flux_err,oii_3729_inst_res,oii_3729_chisq,neiii_3869_cont,neiii_3869_cont_err,neiii_3869_reqw,neiii_3869_reqw_err,neiii_3869_eqw,neiii_3869_eqw_err,neiii_3869_flux,neiii_3869_flux_err,neiii_3869_inst_res,neiii_3869_chisq,h_delta_cont,h_delta_cont_err,h_delta_reqw,h_delta_reqw_err,h_delta_eqw,h_delta_eqw_err,h_delta_flux,h_delta_flux_err,h_delta_inst_res,h_delta_chisq,h_gamma_cont,h_gamma_cont_err,h_gamma_reqw,h_gamma_reqw_err,h_gamma_eqw,h_gamma_eqw_err,h_gamma_flux,h_gamma_flux_err,h_gamma_inst_res,h_gamma_chisq,oiii_4363_cont,oiii_4363_cont_err,oiii_4363_reqw,oiii_4363_reqw_err,oiii_4363_eqw,oiii_4363_eqw_err,oiii_4363_flux,oiii_4363_flux_err,oiii_4363_inst_res,oiii_4363_chisq,h_beta_cont,h_beta_cont_err,h_beta_reqw,h_beta_reqw_err,h_beta_eqw,h_beta_eqw_err,h_beta_flux,h_beta_flux_err,h_beta_inst_res,h_beta_chisq,oiii_4959_cont,oiii_4959_cont_err,oiii_4959_reqw,oiii_4959_reqw_err,oiii_4959_eqw,oiii_4959_eqw_err,oiii_4959_flux,oiii_4959_flux_err,oiii_4959_inst_res,oiii_4959_chisq,oiii_5007_cont,oiii_5007_cont_err,oiii_5007_reqw,oiii_5007_reqw_err,oiii_5007_eqw,oiii_5007_eqw_err,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_inst_res,oiii_5007_chisq,hei_5876_cont,hei_5876_cont_err,hei_5876_reqw,hei_5876_reqw_err,hei_5876_eqw,hei_5876_eqw_err,hei_5876_flux,hei_5876_flux_err,hei_5876_inst_res,hei_5876_chisq,oi_6300_cont,oi_6300_cont_err,oi_6300_reqw,oi_6300_reqw_err,oi_6300_eqw,oi_6300_eqw_err,oi_6300_flux,oi_6300_flux_err,oi_6300_inst_res,oi_6300_chisq,nii_6548_cont,nii_6548_cont_err,nii_6548_reqw,nii_6548_reqw_err,nii_6548_eqw,nii_6548_eqw_err,nii_6548_flux,nii_6548_flux_err,nii_6548_inst_res,nii_6548_chisq,h_alpha_cont,h_alpha_cont_err,h_alpha_reqw,h_alpha_reqw_err,h_alpha_eqw,h_alpha_eqw_err,h_alpha_flux,h_alpha_flux_err,h_alpha_inst_res,h_alpha_chisq,nii_6584_cont,nii_6584_cont_err,nii_6584_reqw,nii_6584_reqw_err,nii_6584_eqw,nii_6584_eqw_err,nii_6584_flux,nii_6584_flux_err,nii_6584_inst_res,nii_6584_chisq,sii_6717_cont,sii_6717_cont_err,sii_6717_reqw,sii_6717_reqw_err,sii_6717_eqw,sii_6717_eqw_err,sii_6717_flux,sii_6717_flux_err,sii_6717_inst_res,sii_6717_chisq,sii_6731_cont,sii_6731_cont_err,sii_6731_reqw,sii_6731_reqw_err,sii_6731_eqw,sii_6731_eqw_err,sii_6731_flux,sii_6731_flux_err,sii_6731_inst_res,sii_6731_chisq,ariii7135_cont,ariii7135_cont_err,ariii7135_reqw,ariii7135_reqw_err,ariii7135_eqw,ariii7135_eqw_err,ariii7135_flux,ariii7135_flux_err,ariii7135_inst_res,ariii7135_chisq,oii_sigma,oii_flux,oii_flux_err,oii_voff,oii_chi2,oiii_sigma,oiii_flux,oiii_flux_err,oiii_voff,oiii_chi2,spectofiber
299489676975171584,140.6901,4.170585,135.8498,6.414793,-0.8828215,4.030681,-2.969525,6.200569,27.24549,3.84528,0,-1,0,-1,307.0014,2327.571,86.4498,0.002435977,30.33108,4.096154,0,-1,0,-1,34.05977,159.3236,86.39494,0.3412264,32.30004,3.490888,0.5804372,0.4717184,0.5331591,0.4717184,-20.30892,9.071653,83.48791,1.005011,49.53455,2.297325,1.322509,0.2161361,0.1977799,0.2161361,13.25899,6.653117,79.03525,0.5989143,55.53731,2.94716,-0.5843347,0.1880198,-0.7597774,0.1880198,42.0693,6.376869,74.89417,1.496132,57.11098,2.947555,-1.113591,0.2143804,0.07361015,0.2143804,2.330947,6.684836,74.51831,1.86058,73.657,1.595984,0.8886011,0.1322801,-1.167017,0.1322801,98.78678,6.727546,67.37184,1.230867,74.03386,2.32661,-0.8614246,0.1364232,-0.4227918,0.1364232,30.8813,6.710923,66.16799,0.530286,73.19782,2.38695,-0.2116586,0.134048,-0.9996802,0.134048,72.29009,6.938117,65.61543,0.8992878,84.21397,1.966686,0.09921543,0.1098767,0.04910806,0.1098767,1.880148,6.846655,63.83786,0.7724025,81.84703,1.527752,-0.2910645,0.1134253,-0.2476434,0.1134253,16.14372,6.920889,65.49824,0.5974612,85.55238,3.228755,-1.011031,0.114143,-0.8593313,0.114143,68.26553,2.904662,64.42481,1.652039,85.68249,3.125906,-3.651607,0.1303779,-5.45305,0.1303779,462.1176,10.68858,64.36599,4.272991,85.66282,3.245567,-2.234064,0.1201958,-2.356328,0.1201958,205.9046,8.761121,64.29028,1.231532,83.80865,4.020395,-1.091568,0.1202515,-1.24664,0.1202515,105.4517,8.152427,63.80294,0.8802776,83.66148,4.006595,-1.276952,0.1249697,-1.278728,0.1249697,103.0551,8.635546,63.75423,0.4613988,79.62324,1.292803,0.1952767,0.0885848,0.03037529,0.0885848,-0.7649335,7.920553,62.46119,0.8398782,83.45228,-466.3795,399412.1,43.49286,0.2499735,111.1254,68.1741,7.386366,-35.29366,0.6716451,0.7689407
299489677444933632,133.7546,3.76009,123.6964,5.609911,-9.699394,3.535617,-4.749789,5.203946,26.45819,4.388198,0,-1,0,-1,0,-0.7643722,0,0,26.45819,4.327331,0,-1,0,-1,0,-0.7643722,0,0,31.86648,3.452851,0.1343507,0.4407481,0.355878,0.4407481,-14.02386,7.834686,82.71306,0.3611005,49.50027,2.710793,1.250334,0.2124889,-0.02206991,0.2124889,23.38205,6.433518,78.42005,1.281955,54.46839,3.101952,-1.067702,0.1886377,-1.2152,0.1886377,59.10305,6.234691,74.52751,0.9016954,56.16984,2.540939,-1.332271,0.2141162,-0.0262981,0.2141162,14.54461,6.551525,74.19457,1.387586,72.93294,1.87807,0.7488092,0.1319971,-1.465171,0.1319971,119.4956,6.650275,67.72137,3.417475,73.37663,1.991545,-0.7664911,0.1349618,-0.4316286,0.1349618,24.92376,6.301541,66.68499,0.3688675,72.30875,1.918334,-0.1967752,0.1331814,-0.9798491,0.1331814,68.39606,6.610639,66.19723,0.3841193,84.19788,1.720339,0.107011,0.1038884,0.0580196,0.1038884,1.524161,6.345315,66.43539,0.3567241,82.03363,1.411861,-0.1527509,0.1096263,-0.142589,0.1096263,18.59493,6.560489,68.86413,0.4218059,85.1008,3.151838,-1.200993,0.1120107,-0.985099,0.1120107,74.30252,2.802658,68.07505,2.335303,85.13701,3.151783,-3.847372,0.1239702,-5.588495,0.1239702,472.5904,10.04917,68.03486,8.083827,85.077,3.134178,-2.605098,0.1188861,-2.615378,0.1188861,224.1136,8.453454,67.97261,1.675766,83.93445,3.52863,-1.332029,0.1171457,-1.452501,0.1171457,124.7115,7.912864,67.59061,1.123529,83.87831,3.503846,-0.9114957,0.1182889,-0.8922247,0.1182889,84.18053,7.951251,67.5513,0.789391,80.37206,2.10637,0.4729844,0.08236259,0.2488495,0.08236259,-27.24937,7.170272,66.39864,1.057999,295.741,854119.6,8006358,300,0,112.7821,66.7974,7.38555,-28.5573,0.1642643,0.7643722
299489951853078528,77.36754,30.58897,127.0829,30.27104,0.7750927,27.30704,45.35853,29.30731,3.447155,1.629979,-6.199251,1.877312,-7.857392,1.877312,6.997347,5.053778,73.47489,0.6696159,3.490979,1.565073,-6.199251,1.877312,-7.857392,1.877312,13.39511,5.195005,73.42624,0.334429,3.585245,1.570375,2.10176,1.621145,3.088799,1.621145,-0.1760591,3.264897,70.92146,1.890655,5.672184,1.155013,0.07432838,0.9437251,-1.73361,0.9437251,0.6160878,2.855528,67.19523,0.7277774,5.967189,1.159082,-1.342418,0.8134785,-0.9686658,0.8134785,7.801937,2.585219,63.93308,0.9575675,6.313373,1.157151,-1.952706,0.9028233,-0.1337677,0.9028233,-0.8096809,2.933427,63.64556,0.7677616,7.674188,1.403546,0.6288897,0.9622467,-1.703484,0.9622467,8.996722,3.622337,63.16466,1.156654,7.914599,1.127509,-0.4599171,0.6625686,0.05953131,0.6625686,0.1709591,3.335702,64.33911,1.181046,7.868567,1.023333,1.215964,0.5897168,-0.4761834,0.5897168,0.2009271,2.917477,67.05685,1.66333,9.194016,0.7778763,0.2675541,0.3862777,0.5792613,0.3862777,-5.035222,2.171754,62.9297,0.2044121,8.93562,1.040642,0.3693513,0.5650377,0.2430418,0.5650377,-0.8511449,3.571896,61.41177,0.9157335,8.817057,1.122422,-1.234819,0.5539861,-1.285826,0.5539861,7.814104,2.033003,60.48447,1.697789,8.834631,1.398373,1.708713,0.5436088,-0.2441985,0.5436088,15.46943,6.547065,60.42476,5.957541,8.764925,1.32438,-2.318998,0.5867175,-2.552301,0.5867175,23.56914,6.132,60.3403,1.68404,8.595746,1.061309,-1.173458,0.5384948,-1.318337,0.5384948,10.00083,3.482838,59.78781,1.112313,8.596763,0.9254183,-0.6773243,0.5613335,-0.6322416,0.5613335,6.665386,3.58604,59.72771,0.873948,8.37779,1.305423,2.470187,0.704607,1.948268,0.704607,-84.33826,89.37061,57.74229,0.3087317,261.3245,26.1311,469.4644,-30.44912,0.5116155,55.03073,2.864762,2.559604,300,0.3567326,0.7868416
299489952322840576,1,0,1,0,14.75964,22.29708,53.12594,17.5587,3.792109,1.649584,-2.041402,1.50904,-3.227114,1.50904,1.24653,2.344351,73.76602,0.8447582,3.821448,1.63542,-2.041402,1.50904,-3.227114,1.50904,3.610016,2.306832,73.72105,1.399915,3.567566,1.332411,0.9556367,1.486004,0.6589242,1.486004,-1.930915,2.28977,71.38522,1.797597,6.971224,1.183793,1.092354,0.6852844,0.02601453,0.6852844,1.221214,2.10212,68.02557,1.436786,7.938063,1.099327,-1.505648,0.5782699,-0.8854674,0.5782699,-0.5520817,1.804224,65.15446,1.890566,8.267901,1.211488,-0.6524604,0.6458229,1.190498,0.6458229,-1.083425,1.864802,64.90696,1.056839,10.802,1.251271,0.9804955,0.5662705,-1.175091,0.5662705,6.602319,2.697799,62.93023,0.5847137,10.72837,1.176704,0.4495612,0.4244278,0.9820293,0.4244278,-4.206495,1.978689,66.84225,0.2896583,10.371,1.045589,-0.07093968,0.4004372,-1.291776,0.4004372,5.172892,1.973002,66.69818,1.502683,11.88773,0.6469361,0.3692102,0.2592112,0.3130335,0.2592112,3.796159,1.528916,67.01414,2.352311,11.35073,0.7675417,-0.01083746,0.3199716,0.1080469,0.3199716,3.155121,1.788769,65.48633,2.681278,11.7198,0.8518082,-0.1455498,0.3867102,0.1141535,0.3867102,-0.8058171,0.6162953,64.39043,0.7771499,11.69875,0.7989765,1.28732,0.3331876,-0.2472697,0.3331876,3.417222,1.695948,64.31715,2.218093,11.69313,0.8305879,-0.6882589,0.3984521,-0.7749013,0.3984521,-2.430531,1.858887,64.22033,1.751794,11.38483,0.7282727,0.03530552,0.3317762,-0.2367739,0.3317762,-3.692427,1.760758,63.52529,2.169661,11.36067,0.733483,-0.04119885,0.3349189,-0.07309545,0.3349189,-0.4965546,2.022346,63.44842,2.105049,10.5934,0.8335366,0.9084002,0.3151677,0.5017752,0.3151677,-4.538179,2.311786,60.82275,1.416251,1,6.378588,3.439324,-35.15915,1.311002,38.11946,6.280257,2.43767,28.61602,0.9807172,0.7437681
299490226730985472,500,0,130.8094,12.58185,-31.92922,42.71838,59.56933,12.04523,6.577038,1.526337,-1.148513,0.8989751,-2.219265,0.8989751,7.981077,4.125008,66.99163,1.216389,6.551895,1.530048,-1.148513,0.8989751,-2.219265,0.8989751,6.163532,4.169798,66.96606,0.8310336,6.029737,1.343243,-3.1103,0.7918574,-2.893588,0.7918574,15.5265,2.915724,65.71177,1.029869,5.403449,1.078855,-1.866231,0.7590704,-3.272197,0.7590704,22.58591,4.633536,64.11259,1.168143,5.660921,1.244655,-5.859195,0.7663869,-6.397317,0.7663869,42.40964,4.959272,62.82346,0.9978348,5.567337,1.321138,-3.311666,0.9211026,-1.529767,0.9211026,-0.9436105,2.603774,62.70935,0.666369,4.861498,2.164013,-11.83691,1.210178,-13.08674,1.210178,96.32452,8.188999,60.21873,2.495862,4.520309,1.622291,-6.939428,1.358824,-5.568333,1.358824,28.11038,4.474272,59.65386,1.689218,4.157921,1.856686,-31.02264,1.630148,-30.83142,1.630148,88.41073,6.592439,59.36849,1.333885,0,0,0,-1,0,-1,0,-0.9188861,0,0,0,0,0,-1,0,-1,0,-0.9188861,0,0,0,0,0,-1,0,-1,0,-0.9188861,0,0,0,0,0,-1,0,-1,0,-0.9188861,0,0,0,0,0,-1,0,-1,0,-0.9188861,0,0,0,0,0,-1,0,-1,0,-0.9188861,0,0,0,0,0,-1,0,-1,0,-0.9188861,0,0,0,0,0,-1,0,-1,0,-0.9188861,0,0,113.5357,12.92645,10.98891,-54.45658,1.00729,126.6567,87.1058,6.679164,59.31715,1.521129,0.9188861
299490227200747520,500,0,146.8403,10.02341,13.73963,32.06318,35.86519,9.651674,6.463602,1.001998,-1.895933,0.602798,-2.342724,0.602798,5.731125,3.087203,69.93069,1.305477,6.44855,0.992516,-1.895933,0.602798,-2.342724,0.602798,10.8053,3.06941,69.91246,1.401226,5.914174,1.166483,-2.344142,0.5396743,-1.69925,0.5396743,12.22871,1.973124,69.02355,1.382695,5.082433,0.9239756,-2.377909,0.5239925,-4.403693,0.5239925,26.01386,3.02629,67.83586,1.142628,5.178123,1.046217,-5.257246,0.5699255,-6.953536,0.5699255,42.93631,3.369222,66.74371,0.9335991,5.184076,1.093551,-2.633809,0.6513467,-1.057221,0.6513467,2.624099,1.822714,66.64087,0.8158671,5.015152,1.465988,-10.72338,0.7980027,-12.89945,0.7980027,81.77763,5.135907,63.76474,1.859823,4.319283,1.686671,-7.595469,0.9465926,-5.56461,0.9465926,28.32697,3.083831,63.01835,3.139759,4.105602,1.670596,-30.14335,1.353438,-30.54441,1.353438,95.65276,5.252499,62.61945,2.225942,0,0,0,-1,0,-1,0,-0.7793992,0,0,0,0,0,-1,0,-1,0,-0.7793992,0,0,0,0,0,-1,0,-1,0,-0.7793992,0,0,0,0,0,-1,0,-1,0,-0.7793992,0,0,0,0,0,-1,0,-1,0,-0.7793992,0,0,0,0,0,-1,0,-1,0,-0.7793992,0,0,0,0,0,-1,0,-1,0,-0.7793992,0,0,0,0,0,-1,0,-1,0,-0.7793992,0,0,113.8595,12.84939,5.841156,-89.32829,0.7274013,161.4612,101.3541,6.109617,45.79427,2.092633,0.7793992
299490501608892416,500,0,250.1844,47.85185,300,0,102.2191,51.05458,1.954529,1.827803,-9.58455,3.407834,-8.543317,3.407834,34.65637,11.9581,78.90595,0.7921044,1.953296,1.829649,-9.58455,3.407834,-8.543317,3.407834,-19.34087,11.91053,78.85454,0.9052954,2.636852,1.564198,0.8993672,2.59972,0.06615,2.59972,-3.650003,5.720378,76.12589,0.9558389,4.781086,1.141414,0.0001475015,1.006077,-0.6112413,1.006077,-1.297346,5.382951,72.03757,1.162746,5.645719,1.097115,0.2521623,0.8573394,1.344343,0.8573394,-6.449939,5.504222,68.33556,1.282062,6.00578,1.115287,-0.8530766,0.8963999,1.019589,0.8963999,-4.528246,3.778937,68.00544,1.031549,8.609408,1.117563,1.606125,0.5249724,-0.420018,0.5249724,6.541351,5.414522,61.92002,0.8427507,8.954029,1.09099,1.961613,1.071133,2.898594,1.071133,-1.394262,4.191119,60.94174,1.159449,8.877662,1.074255,-1.649747,0.5521123,-2.303802,0.5521123,19.52857,4.65369,60.49902,0.320999,11.89691,1.257909,0.4266557,0.3172927,0.4080125,0.3172927,-41.76477,4.862583,64.72234,3.844077,12.5741,0.7113935,-0.4307687,0.3029814,-0.3851882,0.3029814,1.590457,3.673024,63.058,1.472649,13.34735,1.127388,-0.4358588,0.3692814,-0.4383216,0.3692814,3.858758,1.588982,62.22412,2.444165,13.32157,1.044521,0.6049101,0.3692247,-1.110524,0.3692247,18.46744,7.449744,62.17455,1.986461,13.2888,0.9759301,-1.006556,0.3147413,-1.139431,0.3147413,11.6389,4.792732,62.10996,1.488685,13.24194,1.019871,-0.165501,0.3392586,-0.3995879,0.3392586,11.04219,4.831903,61.67173,1.072164,13.24776,1.210833,-0.895402,0.3677631,-0.9492065,0.3677631,6.273335,4.576576,61.62558,1.358843,12.94117,0.9191211,0.3325468,0.2496683,0.2093878,0.2496683,-1.450272,4.81224,60.20201,1.307376,448.0231,12.23943,42.01354,300,0.9014117,288.3186,21.26192,5.555132,150.3711,0.4388922,0.8032721
299490502078654464,98.05051,5.49248,115.7321,8.159125,28.08656,4.634161,20.28118,7.486269,7.589058,3.319295,-5.681536,1.43763,-6.613935,1.43763,39.05738,7.645567,82.424,1.233567,7.592426,3.341223,-5.681536,1.43763,-6.613935,1.43763,27.09657,7.928473,82.37132,1.433416,9.233954,2.061908,0.2336007,0.8459653,-0.05437583,0.8459653,2.468194,4.310532,79.6522,0.8322977,13.28169,1.574993,0.8975178,0.5165129,-0.6057989,0.5165129,6.669699,3.581208,75.55109,1.010972,14.08648,1.486605,-0.09200348,0.4041507,-0.7834865,0.4041507,12.43747,3.102948,71.88343,0.4822731,14.65036,1.494032,-0.8086718,0.4561528,0.2201885,0.4561528,0.9038602,3.333012,71.57146,1.189469,17.83652,1.385166,0.7650279,0.2733195,-1.075054,0.2733195,25.64047,2.906838,65.61567,1.646262,18.52926,1.182275,-0.7680511,0.2757585,-0.3824968,0.2757585,9.876856,3.281264,64.6853,1.7894,18.40184,1.271243,-0.6572622,0.2746384,-1.522822,0.2746384,21.44437,3.302969,64.24948,0.9732047,20.32116,0.8765554,0.07280546,0.1976033,-0.002287071,0.1976033,2.559047,2.745098,69.53765,0.6644822,19.52471,0.6713156,-0.5499986,0.1787888,-0.3632426,0.1787888,8.490424,2.520172,68.04486,1.193074,20.41176,0.9584835,-1.120491,0.1879689,-0.8380001,0.1879689,17.10464,1.0462,67.31168,0.9889283,20.44057,0.9005538,-3.382613,0.201425,-5.130115,0.201425,99.40005,3.448143,67.26761,0.6796402,20.44703,1.282388,-2.554211,0.1939936,-2.528958,0.1939936,51.59155,3.155578,67.20575,0.6101621,20.05445,1.02881,-1.613237,0.1829891,-1.630966,0.1829891,35.33497,2.919328,66.81356,0.4080674,20.02819,1.035699,-1.067678,0.1851599,-0.9619961,0.1851599,21.65778,2.860605,66.772,0.5080708,19.34224,0.9882363,0.3269889,0.2371298,0.06834392,0.2371298,-0.172283,4.992754,65.45562,0.9927023,1,59.00043,7.624006,46.03543,1.319861,182.796,27.40489,4.606291,85.03297,0.9129742,0.7565153
299490776486799360,500,0,1,0,-300,0,-136.3066,20.78781,1.837993,1.225706,1.012813,2.005823,-0.9730589,2.005823,1.565117,1.375394,62.6636,0.9503798,1.860299,1.221771,1.012813,2.005823,-0.9730589,2.005823,2.147942,1.363652,62.61574,0.7146958,1.933769,1.196388,-5.292176,2.098793,-6.780881,2.098793,4.594702,1.562791,60.79455,0.9241771,2.624854,1.396206,-1.043234,2.011098,0.1214297,2.011098,-3.675174,6.053549,63.33121,1.393254,3.20984,0.9814166,1.827606,1.144657,3.609976,1.144657,-10.27876,4.174312,66.26505,0.9632523,3.470802,1.060455,-2.077844,1.287498,-0.5346911,1.287498,-0.3885926,1.441247,66.09013,0.2407643,4.501905,0.8700641,3.015559,0.8151863,1.734708,0.8151863,-11.28703,4.274612,63.23898,1.560901,4.843411,0.8319841,-1.224947,0.7374166,-1.016667,0.7374166,-2.893872,1.465,62.8015,1.225447,4.741991,1.001085,2.915267,0.9075377,1.433041,0.9075377,-1.384024,1.91954,62.59834,1.031631,4.762717,1.206734,0.2985194,1.342146,0.2093596,1.342146,-1.163174,8.827358,58.43044,1.37344,4.762842,1.558749,-1.339995,1.731284,-0.7665237,1.731284,4.626935,3.778478,55.37736,0.1400163,0,0,0,-1,0,-1,0,-0.8113739,0,0,0,0,0,-1,0,-1,0,-0.8113739,0,0,0,0,0,-1,0,-1,0,-0.8113739,0,0,0,0,0,-1,0,-1,0,-0.8113739,0,0,0,0,0,-1,0,-1,0,-0.8113739,0,0,0,0,0,-1,0,-1,0,-0.8113739,0,0,1,0.7974444,1.942454,-146.6776,1.307248,1,-0.2110655,1.906883,-97.51799,1.718731,0.8113739
299491051364706304,46.93588,2.773334,45.63543,6.97717,3.09458,1.757989,8.890516,4.195461,4.337768,4.341856,-7.825519,3.115727,-9.313743,3.115727,29.87828,6.475568,83.8736,0.6114154,4.304002,4.364679,-7.825519,3.115727,-9.313743,3.115727,19.59231,6.553017,83.80222,0.6654331,4.303803,2.94716,3.082949,2.585481,5.145781,2.585481,-1.847041,5.138716,80.9622,0.806335,6.031781,2.182593,1.481374,1.331351,-2.145217,1.331351,8.808969,3.847714,76.61459,1.738367,5.470146,1.713718,-1.158599,1.257287,-3.202439,1.257287,18.33006,3.666489,72.60603,0.5761459,5.612332,1.733663,-0.8336567,1.401058,1.523439,1.401058,-1.443974,3.117991,72.24355,1.296112,6.258152,1.157454,-5.097559,0.8750767,-8.197458,0.8750767,47.3665,3.05511,65.42573,1.461354,6.292441,1.269469,-0.6308677,0.8542697,-0.2591339,0.8542697,0.172112,2.568117,64.29247,0.543996,6.272367,1.298972,-3.589036,0.8593221,-4.168802,0.8593221,11.85567,2.681347,63.77443,0.8787813,5.994634,0.8729151,-0.2862601,0.833603,0.1402998,0.833603,1.697883,2.738058,66.7373,0.8046345,5.877383,0.7120211,-0.4814633,0.6303834,-0.2059852,0.6303834,4.319232,2.020729,64.60813,1.981049,6.210812,0.9288267,-2.58164,0.7338717,-2.209998,0.7338717,17.94872,1.001301,63.66064,0.5171617,6.205686,0.9821338,-27.55126,0.7989187,-29.55017,0.7989187,181.5262,3.646693,63.60748,1.274346,6.193648,0.9957375,-8.267157,0.740746,-7.933251,0.740746,54.13749,3.020152,63.53907,0.590059,6.16999,0.9313689,-6.05229,0.6600261,-6.0304,0.6600261,31.28298,2.544443,63.09215,3.691876,6.190134,0.9079351,-3.183399,0.6091714,-3.129702,0.6091714,19.16762,2.276629,63.04679,1.431984,5.474575,0.7578575,-0.3451914,0.5435467,-0.4103667,0.5435467,1.220367,2.220686,61.78157,0.5674317,54.96537,51.60929,12.51374,-39.30727,0.6507735,207.7978,23.47593,5.29395,-96.297,0.7177292,0.7951455
